IDENTITY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_dj	p_colon	N_dj	N_colon
GC_00002470	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002470	GC_00002470	0	0.25	12	12
GC_00002560	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002560	GC_00002560	0	0.25	12	12
GC_00002438	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002438	GC_00002438	0.25	0	12	12
GC_00002454	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002454	GC_00002454	0.25	0	12	12
GC_00002553	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002553	GC_00002553	0	0.25	12	12
GC_00002530	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002530	GC_00002530	0.25	0	12	12
GC_00002556	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002556	GC_00002556	0	0.25	12	12
GC_00002588	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002588	GC_00002588	0	0.25	12	12
GC_00002576	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002576	GC_00002576	0.25	0	12	12
GC_00002481	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002481	GC_00002481	0.25	0	12	12
GC_00002461	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002461	GC_00002461	0.25	0	12	12
GC_00002471	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002471	GC_00002471	0	0.25	12	12
GC_00002580	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002580	GC_00002580	0	0.25	12	12
GC_00002468	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002468	GC_00002468	0	0.25	12	12
GC_00002539	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002539	GC_00002539	0	0.25	12	12
GC_00002551	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002551	GC_00002551	0	0.25	12	12
GC_00002585	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002585	GC_00002585	0	0.25	12	12
GC_00002480	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002480	GC_00002480	0	0.25	12	12
GC_00002504	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002504	GC_00002504	0.25	0	12	12
GC_00002457	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002457	GC_00002457	0	0.25	12	12
GC_00002464	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002464	GC_00002464	0.25	0	12	12
GC_00002462	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002462	GC_00002462	0	0.25	12	12
GC_00002509	3.4285717333263173	0.0640774946261102	0.862102002820061	dj	GC_00002509	GC_00002509	0.25	0	12	12
GC_00002456	3.4285717333263173	0.0640774946261102	0.862102002820061	colon	GC_00002456	GC_00002456	0	0.25	12	12
GC_00001973	3.428571733326317	0.0640774946261102	0.862102002820061	colon	GC_00001973	GC_00001973	0.75	1	12	12
GC_00001983	3.428571733326317	0.0640774946261102	0.862102002820061	colon	GC_00001983	GC_00001983	0.75	1	12	12
GC_00001981	3.428571733326317	0.0640774946261102	0.862102002820061	colon	GC_00001981	GC_00001981	0.75	1	12	12
GC_00002164	3.0000001601053956	0.08326450843518278	0.862102002820061	colon	GC_00002164	GC_00002164	0.1667	0.5	12	12
GC_00002183	3.0000001601053956	0.08326450843518278	0.862102002820061	colon	GC_00002183	GC_00002183	0.1667	0.5	12	12
GC_00002155	3.0000001601053956	0.08326450843518278	0.862102002820061	colon	GC_00002155	GC_00002155	0.1667	0.5	12	12
GC_00002156	3.0000001601053956	0.08326450843518278	0.862102002820061	colon	GC_00002156	GC_00002156	0.1667	0.5	12	12
GC_00002024	3.0000001601053934	0.08326450843518357	0.862102002820061	colon	GC_00002024	GC_00002024	0.5	0.8333	12	12
GC_00002112	2.7428571431460975	0.09768995932849558	0.862102002820061	colon	GC_00002112	GC_00002112	0.25	0.5833	12	12
GC_00002108	2.7428571431460975	0.09768995932849558	0.862102002820061	colon	GC_00002108	GC_00002108	0.25	0.5833	12	12
GC_00002127	2.7428571431460975	0.09768995932849558	0.862102002820061	colon	GC_00002127	GC_00002127	0.25	0.5833	12	12
GC_00002126	2.7428571431460975	0.09768995932849558	0.862102002820061	colon	GC_00002126	GC_00002126	0.25	0.5833	12	12
GC_00002005	2.742857143146097	0.09768995932849561	0.862102002820061	colon	GC_00002005	GC_00002005	0.4167	0.75	12	12
GC_00002059	2.6666666666666683	0.10247043485974888	0.862102002820061	dj	GC_00002059	GC_00002059	0.6667	0.3333	12	12
GC_00002085	2.6666666666666674	0.10247043485974894	0.862102002820061	colon	GC_00002085	GC_00002085	0.3333	0.6667	12	12
GC_00002077	2.6666666666666674	0.10247043485974894	0.862102002820061	colon	GC_00002077	GC_00002077	0.3333	0.6667	12	12
GC_00002029	2.6666666666666674	0.10247043485974894	0.862102002820061	colon	GC_00002029	GC_00002029	0.3333	0.6667	12	12
GC_00002073	2.6666666666666674	0.10247043485974894	0.862102002820061	colon	GC_00002073	GC_00002073	0.3333	0.6667	12	12
GC_00002290	2.273691567737441	0.13158613578066056	0.862102002820061	dj	GC_00002290	GC_00002290	0.3333	0.0833	12	12
GC_00002334	2.273691567737441	0.13158613578066056	0.862102002820061	dj	GC_00002334	GC_00002334	0.3333	0.0833	12	12
GC_00002320	2.273691567737441	0.13158613578066056	0.862102002820061	dj	GC_00002320	GC_00002320	0.3333	0.0833	12	12
GC_00002289	2.273691567737441	0.13158613578066056	0.862102002820061	dj	GC_00002289	GC_00002289	0.3333	0.0833	12	12
GC_00002339	2.273691567737441	0.13158613578066056	0.862102002820061	dj	GC_00002339	GC_00002339	0.3333	0.0833	12	12
GC_00002316	2.273691567737441	0.13158613578066056	0.862102002820061	dj	GC_00002316	GC_00002316	0.3333	0.0833	12	12
GC_00002318	2.273691567737441	0.13158613578066056	0.862102002820061	dj	GC_00002318	GC_00002318	0.3333	0.0833	12	12
GC_00002302	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002302	GC_00002302	0.0833	0.3333	12	12
GC_00002350	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002350	GC_00002350	0.0833	0.3333	12	12
GC_00002312	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002312	GC_00002312	0.0833	0.3333	12	12
GC_00002315	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002315	GC_00002315	0.0833	0.3333	12	12
GC_00002307	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002307	GC_00002307	0.0833	0.3333	12	12
GC_00002309	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002309	GC_00002309	0.0833	0.3333	12	12
GC_00002281	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002281	GC_00002281	0.0833	0.3333	12	12
GC_00002319	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002319	GC_00002319	0.0833	0.3333	12	12
GC_00002331	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002331	GC_00002331	0.0833	0.3333	12	12
GC_00002311	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002311	GC_00002311	0.0833	0.3333	12	12
GC_00002342	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002342	GC_00002342	0.0833	0.3333	12	12
GC_00002301	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002301	GC_00002301	0.0833	0.3333	12	12
GC_00002314	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002314	GC_00002314	0.0833	0.3333	12	12
GC_00002346	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002346	GC_00002346	0.0833	0.3333	12	12
GC_00002313	2.2736915677374387	0.13158613578066022	0.862102002820061	colon	GC_00002313	GC_00002313	0.0833	0.3333	12	12
GC_00002620	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002620	GC_00002620	0	0.1667	12	12
GC_00002866	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002866	GC_00002866	0	0.1667	12	12
GC_00002794	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002794	GC_00002794	0	0.1667	12	12
GC_00002876	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002876	GC_00002876	0	0.1667	12	12
GC_00002832	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002832	GC_00002832	0	0.1667	12	12
GC_00002665	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002665	GC_00002665	0	0.1667	12	12
GC_00002768	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002768	GC_00002768	0	0.1667	12	12
GC_00002795	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002795	GC_00002795	0	0.1667	12	12
GC_00002737	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002737	GC_00002737	0	0.1667	12	12
GC_00002785	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002785	GC_00002785	0	0.1667	12	12
GC_00002701	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002701	GC_00002701	0	0.1667	12	12
GC_00002878	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002878	GC_00002878	0	0.1667	12	12
GC_00002688	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002688	GC_00002688	0	0.1667	12	12
GC_00002844	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002844	GC_00002844	0	0.1667	12	12
GC_00002707	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002707	GC_00002707	0	0.1667	12	12
GC_00002740	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002740	GC_00002740	0	0.1667	12	12
GC_00002843	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002843	GC_00002843	0	0.1667	12	12
GC_00002655	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002655	GC_00002655	0	0.1667	12	12
GC_00002881	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002881	GC_00002881	0	0.1667	12	12
GC_00002660	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002660	GC_00002660	0	0.1667	12	12
GC_00002607	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002607	GC_00002607	0	0.1667	12	12
GC_00002703	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002703	GC_00002703	0	0.1667	12	12
GC_00002598	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002598	GC_00002598	0	0.1667	12	12
GC_00002818	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002818	GC_00002818	0	0.1667	12	12
GC_00002721	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002721	GC_00002721	0	0.1667	12	12
GC_00002829	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002829	GC_00002829	0	0.1667	12	12
GC_00002596	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002596	GC_00002596	0	0.1667	12	12
GC_00002713	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002713	GC_00002713	0	0.1667	12	12
GC_00002650	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002650	GC_00002650	0	0.1667	12	12
GC_00002649	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002649	GC_00002649	0	0.1667	12	12
GC_00002685	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002685	GC_00002685	0	0.1667	12	12
GC_00002699	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002699	GC_00002699	0	0.1667	12	12
GC_00002715	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002715	GC_00002715	0	0.1667	12	12
GC_00002684	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002684	GC_00002684	0	0.1667	12	12
GC_00002774	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002774	GC_00002774	0	0.1667	12	12
GC_00002634	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002634	GC_00002634	0	0.1667	12	12
GC_00002839	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002839	GC_00002839	0	0.1667	12	12
GC_00002674	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002674	GC_00002674	0	0.1667	12	12
GC_00002824	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002824	GC_00002824	0	0.1667	12	12
GC_00002847	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002847	GC_00002847	0	0.1667	12	12
GC_00002711	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002711	GC_00002711	0	0.1667	12	12
GC_00002809	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002809	GC_00002809	0	0.1667	12	12
GC_00002885	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002885	GC_00002885	0	0.1667	12	12
GC_00002678	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002678	GC_00002678	0	0.1667	12	12
GC_00002669	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002669	GC_00002669	0	0.1667	12	12
GC_00002719	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002719	GC_00002719	0	0.1667	12	12
GC_00002745	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002745	GC_00002745	0	0.1667	12	12
GC_00002697	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002697	GC_00002697	0	0.1667	12	12
GC_00002616	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002616	GC_00002616	0	0.1667	12	12
GC_00002804	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002804	GC_00002804	0	0.1667	12	12
GC_00002706	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002706	GC_00002706	0	0.1667	12	12
GC_00002796	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002796	GC_00002796	0	0.1667	12	12
GC_00002797	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002797	GC_00002797	0	0.1667	12	12
GC_00002884	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002884	GC_00002884	0	0.1667	12	12
GC_00002838	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002838	GC_00002838	0	0.1667	12	12
GC_00002756	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002756	GC_00002756	0	0.1667	12	12
GC_00002732	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002732	GC_00002732	0	0.1667	12	12
GC_00002653	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002653	GC_00002653	0	0.1667	12	12
GC_00002657	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002657	GC_00002657	0	0.1667	12	12
GC_00002825	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002825	GC_00002825	0	0.1667	12	12
GC_00002817	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002817	GC_00002817	0	0.1667	12	12
GC_00002689	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002689	GC_00002689	0	0.1667	12	12
GC_00002776	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002776	GC_00002776	0	0.1667	12	12
GC_00002712	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002712	GC_00002712	0	0.1667	12	12
GC_00002702	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002702	GC_00002702	0	0.1667	12	12
GC_00002600	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002600	GC_00002600	0	0.1667	12	12
GC_00002677	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002677	GC_00002677	0	0.1667	12	12
GC_00002680	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002680	GC_00002680	0	0.1667	12	12
